,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1202573850916999170,1202573850916999170,sofia ❦♎︎,sofiashzxa,she/her ; rhtc ,,사랑해요 ꨄ ت | cry for me soty 𖠌☂︎︎,https://t.co/F4uCy7AOpM,"{'urls': [{'url': 'https://t.co/F4uCy7AOpM', 'expanded_url': 'https://www.roblox.com/users/306820311/profile', 'display_url': 'roblox.com/users/30682031…', 'indices': [0, 23]}]}",False,199,437,0,Thu Dec 05 13:02:15 +0000 2019,1206,,,True,False,2606,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_banners/1202573850916999170/1604400567,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1202573850916999170,1202573850916999170,sofia ❦♎︎,sofiashzxa,she/her ; rhtc ,,사랑해요 ꨄ ت | cry for me soty 𖠌☂︎︎,https://t.co/F4uCy7AOpM,{'urls': []},False,199,437,0,Thu Dec 05 13:02:15 +0000 2019,1206,,,True,False,2606,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_banners/1202573850916999170/1604400567,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1202573850916999170,1202573850916999170,sofia ❦♎︎,sofiashzxa,she/her ; rhtc ,,사랑해요 ꨄ ت | cry for me soty 𖠌☂︎︎,https://t.co/F4uCy7AOpM,,False,199,437,0,Thu Dec 05 13:02:15 +0000 2019,1206,,,True,False,2606,,Wed Dec 16 02:09:28 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_banners/1202573850916999170/1604400567,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1202573850916999170,1202573850916999170,sofia ❦♎︎,sofiashzxa,she/her ; rhtc ,,사랑해요 ꨄ ت | cry for me soty 𖠌☂︎︎,https://t.co/F4uCy7AOpM,,False,199,437,0,Thu Dec 05 13:02:15 +0000 2019,1206,,,True,False,2606,,1339029848954585089,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_banners/1202573850916999170/1604400567,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1202573850916999170,1202573850916999170,sofia ❦♎︎,sofiashzxa,she/her ; rhtc ,,사랑해요 ꨄ ت | cry for me soty 𖠌☂︎︎,https://t.co/F4uCy7AOpM,,False,199,437,0,Thu Dec 05 13:02:15 +0000 2019,1206,,,True,False,2606,,1339029848954585089,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_banners/1202573850916999170/1604400567,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1202573850916999170,1202573850916999170,sofia ❦♎︎,sofiashzxa,she/her ; rhtc ,,사랑해요 ꨄ ت | cry for me soty 𖠌☂︎︎,https://t.co/F4uCy7AOpM,,False,199,437,0,Thu Dec 05 13:02:15 +0000 2019,1206,,,True,False,2606,,@dcrlingshy @_xflxral_ done w all extras ! my dream item is ltbs or the parasol !,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_banners/1202573850916999170/1604400567,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1202573850916999170,1202573850916999170,sofia ❦♎︎,sofiashzxa,she/her ; rhtc ,,사랑해요 ꨄ ت | cry for me soty 𖠌☂︎︎,https://t.co/F4uCy7AOpM,,False,199,437,0,Thu Dec 05 13:02:15 +0000 2019,1206,,,True,False,2606,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_banners/1202573850916999170/1604400567,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1202573850916999170,1202573850916999170,sofia ❦♎︎,sofiashzxa,she/her ; rhtc ,,사랑해요 ꨄ ت | cry for me soty 𖠌☂︎︎,https://t.co/F4uCy7AOpM,,False,199,437,0,Thu Dec 05 13:02:15 +0000 2019,1206,,,True,False,2606,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'dcrlingshy', 'name': 'Shy', 'id': 1261020240705536001, 'id_str': '1261020240705536001', 'indices': [0, 11]}, {'screen_name': '_xflxral_', 'name': '˚₊· ͟͟͞͞➳❥𝗩𝗲𝗿𝗮 || Take Sponsors࿐ ࿔*:･ﾟ', 'id': 1272814243318919169, 'id_str': '1272814243318919169', 'indices': [12, 22]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_banners/1202573850916999170/1604400567,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1202573850916999170,1202573850916999170,sofia ❦♎︎,sofiashzxa,she/her ; rhtc ,,사랑해요 ꨄ ت | cry for me soty 𖠌☂︎︎,https://t.co/F4uCy7AOpM,,False,199,437,0,Thu Dec 05 13:02:15 +0000 2019,1206,,,True,False,2606,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_banners/1202573850916999170/1604400567,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1202573850916999170,1202573850916999170,sofia ❦♎︎,sofiashzxa,she/her ; rhtc ,,사랑해요 ꨄ ت | cry for me soty 𖠌☂︎︎,https://t.co/F4uCy7AOpM,,False,199,437,0,Thu Dec 05 13:02:15 +0000 2019,1206,,,True,False,2606,,1339006161115181056,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_banners/1202573850916999170/1604400567,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1202573850916999170,1202573850916999170,sofia ❦♎︎,sofiashzxa,she/her ; rhtc ,,사랑해요 ꨄ ت | cry for me soty 𖠌☂︎︎,https://t.co/F4uCy7AOpM,,False,199,437,0,Thu Dec 05 13:02:15 +0000 2019,1206,,,True,False,2606,,1339006161115181056,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_banners/1202573850916999170/1604400567,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1202573850916999170,1202573850916999170,sofia ❦♎︎,sofiashzxa,she/her ; rhtc ,,사랑해요 ꨄ ت | cry for me soty 𖠌☂︎︎,https://t.co/F4uCy7AOpM,,False,199,437,0,Thu Dec 05 13:02:15 +0000 2019,1206,,,True,False,2606,,1261020240705536001,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_banners/1202573850916999170/1604400567,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1202573850916999170,1202573850916999170,sofia ❦♎︎,sofiashzxa,she/her ; rhtc ,,사랑해요 ꨄ ت | cry for me soty 𖠌☂︎︎,https://t.co/F4uCy7AOpM,,False,199,437,0,Thu Dec 05 13:02:15 +0000 2019,1206,,,True,False,2606,,1261020240705536001,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_banners/1202573850916999170/1604400567,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1202573850916999170,1202573850916999170,sofia ❦♎︎,sofiashzxa,she/her ; rhtc ,,사랑해요 ꨄ ت | cry for me soty 𖠌☂︎︎,https://t.co/F4uCy7AOpM,,False,199,437,0,Thu Dec 05 13:02:15 +0000 2019,1206,,,True,False,2606,,dcrlingshy,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_banners/1202573850916999170/1604400567,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
geo,1202573850916999170,1202573850916999170,sofia ❦♎︎,sofiashzxa,she/her ; rhtc ,,사랑해요 ꨄ ت | cry for me soty 𖠌☂︎︎,https://t.co/F4uCy7AOpM,,False,199,437,0,Thu Dec 05 13:02:15 +0000 2019,1206,,,True,False,2606,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_images/1333049108190269440/ZqILxGxt_normal.jpg,https://pbs.twimg.com/profile_banners/1202573850916999170/1604400567,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
