,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1582233127,1582233127,🐻 El Oso Baboso 🐻,DaMexicanBuddha,"Austin, TX",,CHICANO | Tequila Connoisseur | The Dirty Eight-30 | Se Habla Español,,{'urls': []},False,465,335,5,Wed Jul 10 04:40:59 +0000 2013,21919,,,True,False,7781,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_banners/1582233127/1605848244,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none
created_at,1582233127,1582233127,🐻 El Oso Baboso 🐻,DaMexicanBuddha,"Austin, TX",,CHICANO | Tequila Connoisseur | The Dirty Eight-30 | Se Habla Español,,,False,465,335,5,Wed Jul 10 04:40:59 +0000 2013,21919,,,True,False,7781,,Wed Dec 16 01:21:01 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_banners/1582233127/1605848244,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none
id,1582233127,1582233127,🐻 El Oso Baboso 🐻,DaMexicanBuddha,"Austin, TX",,CHICANO | Tequila Connoisseur | The Dirty Eight-30 | Se Habla Español,,,False,465,335,5,Wed Jul 10 04:40:59 +0000 2013,21919,,,True,False,7781,,1339017656389808130,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_banners/1582233127/1605848244,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none
id_str,1582233127,1582233127,🐻 El Oso Baboso 🐻,DaMexicanBuddha,"Austin, TX",,CHICANO | Tequila Connoisseur | The Dirty Eight-30 | Se Habla Español,,,False,465,335,5,Wed Jul 10 04:40:59 +0000 2013,21919,,,True,False,7781,,1339017656389808130,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_banners/1582233127/1605848244,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none
text,1582233127,1582233127,🐻 El Oso Baboso 🐻,DaMexicanBuddha,"Austin, TX",,CHICANO | Tequila Connoisseur | The Dirty Eight-30 | Se Habla Español,,,False,465,335,5,Wed Jul 10 04:40:59 +0000 2013,21919,,,True,False,7781,,This is the Christmas equivalent of Fergie singing the national Anthem https://t.co/uRWj8jq4bH,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_banners/1582233127/1605848244,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none
truncated,1582233127,1582233127,🐻 El Oso Baboso 🐻,DaMexicanBuddha,"Austin, TX",,CHICANO | Tequila Connoisseur | The Dirty Eight-30 | Se Habla Español,,,False,465,335,5,Wed Jul 10 04:40:59 +0000 2013,21919,,,True,False,7781,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_banners/1582233127/1605848244,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none
entities,1582233127,1582233127,🐻 El Oso Baboso 🐻,DaMexicanBuddha,"Austin, TX",,CHICANO | Tequila Connoisseur | The Dirty Eight-30 | Se Habla Español,,,False,465,335,5,Wed Jul 10 04:40:59 +0000 2013,21919,,,True,False,7781,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/uRWj8jq4bH', 'expanded_url': 'https://twitter.com/nielsencurrent/status/1338902562146279428', 'display_url': 'twitter.com/nielsencurrent…', 'indices': [71, 94]}]}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_banners/1582233127/1605848244,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none
source,1582233127,1582233127,🐻 El Oso Baboso 🐻,DaMexicanBuddha,"Austin, TX",,CHICANO | Tequila Connoisseur | The Dirty Eight-30 | Se Habla Español,,,False,465,335,5,Wed Jul 10 04:40:59 +0000 2013,21919,,,True,False,7781,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_banners/1582233127/1605848244,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id,1582233127,1582233127,🐻 El Oso Baboso 🐻,DaMexicanBuddha,"Austin, TX",,CHICANO | Tequila Connoisseur | The Dirty Eight-30 | Se Habla Español,,,False,465,335,5,Wed Jul 10 04:40:59 +0000 2013,21919,,,True,False,7781,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_banners/1582233127/1605848244,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id_str,1582233127,1582233127,🐻 El Oso Baboso 🐻,DaMexicanBuddha,"Austin, TX",,CHICANO | Tequila Connoisseur | The Dirty Eight-30 | Se Habla Español,,,False,465,335,5,Wed Jul 10 04:40:59 +0000 2013,21919,,,True,False,7781,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_banners/1582233127/1605848244,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_user_id,1582233127,1582233127,🐻 El Oso Baboso 🐻,DaMexicanBuddha,"Austin, TX",,CHICANO | Tequila Connoisseur | The Dirty Eight-30 | Se Habla Español,,,False,465,335,5,Wed Jul 10 04:40:59 +0000 2013,21919,,,True,False,7781,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_images/1335827825253871617/y8OQKvTk_normal.jpg,https://pbs.twimg.com/profile_banners/1582233127/1605848244,3B94D9,000000,000000,000000,False,True,False,False,False,False,False,none
