,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1122053089102577664,1122053089102577664,FestiveQuentin_,PapiQuentin_,Felix's mansion,,"Tis the season to... the fuck?... WHO TOUCHED MY MEDKIT!! | Kicking Victor is a lifestyle | Quentin, Felix and Adam main |",,{'urls': []},False,856,1533,10,Sat Apr 27 08:21:18 +0000 2019,119648,,,False,False,39735,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337858416371490823/49WtVnyg_normal.jpg,https://pbs.twimg.com/profile_images/1337858416371490823/49WtVnyg_normal.jpg,https://pbs.twimg.com/profile_banners/1122053089102577664/1603673001,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1122053089102577664,1122053089102577664,FestiveQuentin_,PapiQuentin_,Felix's mansion,,"Tis the season to... the fuck?... WHO TOUCHED MY MEDKIT!! | Kicking Victor is a lifestyle | Quentin, Felix and Adam main |",,,False,856,1533,10,Sat Apr 27 08:21:18 +0000 2019,119648,,,False,False,39735,,Wed Dec 16 01:35:06 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337858416371490823/49WtVnyg_normal.jpg,https://pbs.twimg.com/profile_images/1337858416371490823/49WtVnyg_normal.jpg,https://pbs.twimg.com/profile_banners/1122053089102577664/1603673001,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1122053089102577664,1122053089102577664,FestiveQuentin_,PapiQuentin_,Felix's mansion,,"Tis the season to... the fuck?... WHO TOUCHED MY MEDKIT!! | Kicking Victor is a lifestyle | Quentin, Felix and Adam main |",,,False,856,1533,10,Sat Apr 27 08:21:18 +0000 2019,119648,,,False,False,39735,,1339021200715096064,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337858416371490823/49WtVnyg_normal.jpg,https://pbs.twimg.com/profile_images/1337858416371490823/49WtVnyg_normal.jpg,https://pbs.twimg.com/profile_banners/1122053089102577664/1603673001,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1122053089102577664,1122053089102577664,FestiveQuentin_,PapiQuentin_,Felix's mansion,,"Tis the season to... the fuck?... WHO TOUCHED MY MEDKIT!! | Kicking Victor is a lifestyle | Quentin, Felix and Adam main |",,,False,856,1533,10,Sat Apr 27 08:21:18 +0000 2019,119648,,,False,False,39735,,1339021200715096064,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337858416371490823/49WtVnyg_normal.jpg,https://pbs.twimg.com/profile_images/1337858416371490823/49WtVnyg_normal.jpg,https://pbs.twimg.com/profile_banners/1122053089102577664/1603673001,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1122053089102577664,1122053089102577664,FestiveQuentin_,PapiQuentin_,Felix's mansion,,"Tis the season to... the fuck?... WHO TOUCHED MY MEDKIT!! | Kicking Victor is a lifestyle | Quentin, Felix and Adam main |",,,False,856,1533,10,Sat Apr 27 08:21:18 +0000 2019,119648,,,False,False,39735,,@bbusybody YOU ARE LITERALLY FELIX IN THIS CLIP BRISHDHEIWI,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337858416371490823/49WtVnyg_normal.jpg,https://pbs.twimg.com/profile_images/1337858416371490823/49WtVnyg_normal.jpg,https://pbs.twimg.com/profile_banners/1122053089102577664/1603673001,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1122053089102577664,1122053089102577664,FestiveQuentin_,PapiQuentin_,Felix's mansion,,"Tis the season to... the fuck?... WHO TOUCHED MY MEDKIT!! | Kicking Victor is a lifestyle | Quentin, Felix and Adam main |",,,False,856,1533,10,Sat Apr 27 08:21:18 +0000 2019,119648,,,False,False,39735,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337858416371490823/49WtVnyg_normal.jpg,https://pbs.twimg.com/profile_images/1337858416371490823/49WtVnyg_normal.jpg,https://pbs.twimg.com/profile_banners/1122053089102577664/1603673001,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1122053089102577664,1122053089102577664,FestiveQuentin_,PapiQuentin_,Felix's mansion,,"Tis the season to... the fuck?... WHO TOUCHED MY MEDKIT!! | Kicking Victor is a lifestyle | Quentin, Felix and Adam main |",,,False,856,1533,10,Sat Apr 27 08:21:18 +0000 2019,119648,,,False,False,39735,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bbusybody', 'name': 'jimbo', 'id': 1321471299554889728, 'id_str': '1321471299554889728', 'indices': [0, 10]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337858416371490823/49WtVnyg_normal.jpg,https://pbs.twimg.com/profile_images/1337858416371490823/49WtVnyg_normal.jpg,https://pbs.twimg.com/profile_banners/1122053089102577664/1603673001,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1122053089102577664,1122053089102577664,FestiveQuentin_,PapiQuentin_,Felix's mansion,,"Tis the season to... the fuck?... WHO TOUCHED MY MEDKIT!! | Kicking Victor is a lifestyle | Quentin, Felix and Adam main |",,,False,856,1533,10,Sat Apr 27 08:21:18 +0000 2019,119648,,,False,False,39735,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337858416371490823/49WtVnyg_normal.jpg,https://pbs.twimg.com/profile_images/1337858416371490823/49WtVnyg_normal.jpg,https://pbs.twimg.com/profile_banners/1122053089102577664/1603673001,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1122053089102577664,1122053089102577664,FestiveQuentin_,PapiQuentin_,Felix's mansion,,"Tis the season to... the fuck?... WHO TOUCHED MY MEDKIT!! | Kicking Victor is a lifestyle | Quentin, Felix and Adam main |",,,False,856,1533,10,Sat Apr 27 08:21:18 +0000 2019,119648,,,False,False,39735,,1339020975933976582,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337858416371490823/49WtVnyg_normal.jpg,https://pbs.twimg.com/profile_images/1337858416371490823/49WtVnyg_normal.jpg,https://pbs.twimg.com/profile_banners/1122053089102577664/1603673001,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1122053089102577664,1122053089102577664,FestiveQuentin_,PapiQuentin_,Felix's mansion,,"Tis the season to... the fuck?... WHO TOUCHED MY MEDKIT!! | Kicking Victor is a lifestyle | Quentin, Felix and Adam main |",,,False,856,1533,10,Sat Apr 27 08:21:18 +0000 2019,119648,,,False,False,39735,,1339020975933976582,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1337858416371490823/49WtVnyg_normal.jpg,https://pbs.twimg.com/profile_images/1337858416371490823/49WtVnyg_normal.jpg,https://pbs.twimg.com/profile_banners/1122053089102577664/1603673001,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
