,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,135158407,135158407,em🐘,oldsoulemily_,Cheers,,the worlds you create make the real ones seem less sad || Ernie Pantusso stan account || ALL BLM || she/her 23,,{'urls': []},False,1111,761,29,Tue Apr 20 14:04:29 +0000 2010,45679,,,False,False,123374,,,False,False,True,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1322750808576970754/P7P7K6Mk_normal.jpg,https://pbs.twimg.com/profile_images/1322750808576970754/P7P7K6Mk_normal.jpg,https://pbs.twimg.com/profile_banners/135158407/1604203343,981CEB,000000,2F1C0E,7F6262,True,True,False,False,False,False,False,none
created_at,135158407,135158407,em🐘,oldsoulemily_,Cheers,,the worlds you create make the real ones seem less sad || Ernie Pantusso stan account || ALL BLM || she/her 23,,,False,1111,761,29,Tue Apr 20 14:04:29 +0000 2010,45679,,,False,False,123374,,Wed Dec 16 03:32:38 +0000 2020,False,False,True,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1322750808576970754/P7P7K6Mk_normal.jpg,https://pbs.twimg.com/profile_images/1322750808576970754/P7P7K6Mk_normal.jpg,https://pbs.twimg.com/profile_banners/135158407/1604203343,981CEB,000000,2F1C0E,7F6262,True,True,False,False,False,False,False,none
id,135158407,135158407,em🐘,oldsoulemily_,Cheers,,the worlds you create make the real ones seem less sad || Ernie Pantusso stan account || ALL BLM || she/her 23,,,False,1111,761,29,Tue Apr 20 14:04:29 +0000 2010,45679,,,False,False,123374,,1339050776057024514,False,False,True,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1322750808576970754/P7P7K6Mk_normal.jpg,https://pbs.twimg.com/profile_images/1322750808576970754/P7P7K6Mk_normal.jpg,https://pbs.twimg.com/profile_banners/135158407/1604203343,981CEB,000000,2F1C0E,7F6262,True,True,False,False,False,False,False,none
id_str,135158407,135158407,em🐘,oldsoulemily_,Cheers,,the worlds you create make the real ones seem less sad || Ernie Pantusso stan account || ALL BLM || she/her 23,,,False,1111,761,29,Tue Apr 20 14:04:29 +0000 2010,45679,,,False,False,123374,,1339050776057024514,False,False,True,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1322750808576970754/P7P7K6Mk_normal.jpg,https://pbs.twimg.com/profile_images/1322750808576970754/P7P7K6Mk_normal.jpg,https://pbs.twimg.com/profile_banners/135158407/1604203343,981CEB,000000,2F1C0E,7F6262,True,True,False,False,False,False,False,none
text,135158407,135158407,em🐘,oldsoulemily_,Cheers,,the worlds you create make the real ones seem less sad || Ernie Pantusso stan account || ALL BLM || she/her 23,,,False,1111,761,29,Tue Apr 20 14:04:29 +0000 2010,45679,,,False,False,123374,,Chicago truly has the best overture,False,False,True,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1322750808576970754/P7P7K6Mk_normal.jpg,https://pbs.twimg.com/profile_images/1322750808576970754/P7P7K6Mk_normal.jpg,https://pbs.twimg.com/profile_banners/135158407/1604203343,981CEB,000000,2F1C0E,7F6262,True,True,False,False,False,False,False,none
truncated,135158407,135158407,em🐘,oldsoulemily_,Cheers,,the worlds you create make the real ones seem less sad || Ernie Pantusso stan account || ALL BLM || she/her 23,,,False,1111,761,29,Tue Apr 20 14:04:29 +0000 2010,45679,,,False,False,123374,,False,False,False,True,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1322750808576970754/P7P7K6Mk_normal.jpg,https://pbs.twimg.com/profile_images/1322750808576970754/P7P7K6Mk_normal.jpg,https://pbs.twimg.com/profile_banners/135158407/1604203343,981CEB,000000,2F1C0E,7F6262,True,True,False,False,False,False,False,none
entities,135158407,135158407,em🐘,oldsoulemily_,Cheers,,the worlds you create make the real ones seem less sad || Ernie Pantusso stan account || ALL BLM || she/her 23,,,False,1111,761,29,Tue Apr 20 14:04:29 +0000 2010,45679,,,False,False,123374,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",False,False,True,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1322750808576970754/P7P7K6Mk_normal.jpg,https://pbs.twimg.com/profile_images/1322750808576970754/P7P7K6Mk_normal.jpg,https://pbs.twimg.com/profile_banners/135158407/1604203343,981CEB,000000,2F1C0E,7F6262,True,True,False,False,False,False,False,none
source,135158407,135158407,em🐘,oldsoulemily_,Cheers,,the worlds you create make the real ones seem less sad || Ernie Pantusso stan account || ALL BLM || she/her 23,,,False,1111,761,29,Tue Apr 20 14:04:29 +0000 2010,45679,,,False,False,123374,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,True,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1322750808576970754/P7P7K6Mk_normal.jpg,https://pbs.twimg.com/profile_images/1322750808576970754/P7P7K6Mk_normal.jpg,https://pbs.twimg.com/profile_banners/135158407/1604203343,981CEB,000000,2F1C0E,7F6262,True,True,False,False,False,False,False,none
in_reply_to_status_id,135158407,135158407,em🐘,oldsoulemily_,Cheers,,the worlds you create make the real ones seem less sad || Ernie Pantusso stan account || ALL BLM || she/her 23,,,False,1111,761,29,Tue Apr 20 14:04:29 +0000 2010,45679,,,False,False,123374,,,False,False,True,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1322750808576970754/P7P7K6Mk_normal.jpg,https://pbs.twimg.com/profile_images/1322750808576970754/P7P7K6Mk_normal.jpg,https://pbs.twimg.com/profile_banners/135158407/1604203343,981CEB,000000,2F1C0E,7F6262,True,True,False,False,False,False,False,none
in_reply_to_status_id_str,135158407,135158407,em🐘,oldsoulemily_,Cheers,,the worlds you create make the real ones seem less sad || Ernie Pantusso stan account || ALL BLM || she/her 23,,,False,1111,761,29,Tue Apr 20 14:04:29 +0000 2010,45679,,,False,False,123374,,,False,False,True,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1322750808576970754/P7P7K6Mk_normal.jpg,https://pbs.twimg.com/profile_images/1322750808576970754/P7P7K6Mk_normal.jpg,https://pbs.twimg.com/profile_banners/135158407/1604203343,981CEB,000000,2F1C0E,7F6262,True,True,False,False,False,False,False,none
in_reply_to_user_id,135158407,135158407,em🐘,oldsoulemily_,Cheers,,the worlds you create make the real ones seem less sad || Ernie Pantusso stan account || ALL BLM || she/her 23,,,False,1111,761,29,Tue Apr 20 14:04:29 +0000 2010,45679,,,False,False,123374,,,False,False,True,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1322750808576970754/P7P7K6Mk_normal.jpg,https://pbs.twimg.com/profile_images/1322750808576970754/P7P7K6Mk_normal.jpg,https://pbs.twimg.com/profile_banners/135158407/1604203343,981CEB,000000,2F1C0E,7F6262,True,True,False,False,False,False,False,none
