,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1146188186659491840,1146188186659491840,₁₅𝕁𝕠𝕜𝕖𝕀𝕟𝔸𝔹𝕠𝕩 🃏,JokerWRLD,your head,,Jokic Stan | Drew Lock Stan | Jokic is Better than Embiid | #MileHighBasketball ⛏#BroncosCountry 🐴 #Rockies 🏔 #GoAvsGo ❄️ #HookEm🤘,,{'urls': []},False,1958,1825,8,Tue Jul 02 22:45:33 +0000 2019,60672,,,False,False,16138,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_banners/1146188186659491840/1590683155,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
created_at,1146188186659491840,1146188186659491840,₁₅𝕁𝕠𝕜𝕖𝕀𝕟𝔸𝔹𝕠𝕩 🃏,JokerWRLD,your head,,Jokic Stan | Drew Lock Stan | Jokic is Better than Embiid | #MileHighBasketball ⛏#BroncosCountry 🐴 #Rockies 🏔 #GoAvsGo ❄️ #HookEm🤘,,,False,1958,1825,8,Tue Jul 02 22:45:33 +0000 2019,60672,,,False,False,16138,,Wed Dec 16 02:29:42 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_banners/1146188186659491840/1590683155,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id,1146188186659491840,1146188186659491840,₁₅𝕁𝕠𝕜𝕖𝕀𝕟𝔸𝔹𝕠𝕩 🃏,JokerWRLD,your head,,Jokic Stan | Drew Lock Stan | Jokic is Better than Embiid | #MileHighBasketball ⛏#BroncosCountry 🐴 #Rockies 🏔 #GoAvsGo ❄️ #HookEm🤘,,,False,1958,1825,8,Tue Jul 02 22:45:33 +0000 2019,60672,,,False,False,16138,,1339034940718141440,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_banners/1146188186659491840/1590683155,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
id_str,1146188186659491840,1146188186659491840,₁₅𝕁𝕠𝕜𝕖𝕀𝕟𝔸𝔹𝕠𝕩 🃏,JokerWRLD,your head,,Jokic Stan | Drew Lock Stan | Jokic is Better than Embiid | #MileHighBasketball ⛏#BroncosCountry 🐴 #Rockies 🏔 #GoAvsGo ❄️ #HookEm🤘,,,False,1958,1825,8,Tue Jul 02 22:45:33 +0000 2019,60672,,,False,False,16138,,1339034940718141440,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_banners/1146188186659491840/1590683155,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
text,1146188186659491840,1146188186659491840,₁₅𝕁𝕠𝕜𝕖𝕀𝕟𝔸𝔹𝕠𝕩 🃏,JokerWRLD,your head,,Jokic Stan | Drew Lock Stan | Jokic is Better than Embiid | #MileHighBasketball ⛏#BroncosCountry 🐴 #Rockies 🏔 #GoAvsGo ❄️ #HookEm🤘,,,False,1958,1825,8,Tue Jul 02 22:45:33 +0000 2019,60672,,,False,False,16138,,@DrippityDropp @Officialj0nn @BR_NBA he’s right tho,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_banners/1146188186659491840/1590683155,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
truncated,1146188186659491840,1146188186659491840,₁₅𝕁𝕠𝕜𝕖𝕀𝕟𝔸𝔹𝕠𝕩 🃏,JokerWRLD,your head,,Jokic Stan | Drew Lock Stan | Jokic is Better than Embiid | #MileHighBasketball ⛏#BroncosCountry 🐴 #Rockies 🏔 #GoAvsGo ❄️ #HookEm🤘,,,False,1958,1825,8,Tue Jul 02 22:45:33 +0000 2019,60672,,,False,False,16138,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_banners/1146188186659491840/1590683155,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
entities,1146188186659491840,1146188186659491840,₁₅𝕁𝕠𝕜𝕖𝕀𝕟𝔸𝔹𝕠𝕩 🃏,JokerWRLD,your head,,Jokic Stan | Drew Lock Stan | Jokic is Better than Embiid | #MileHighBasketball ⛏#BroncosCountry 🐴 #Rockies 🏔 #GoAvsGo ❄️ #HookEm🤘,,,False,1958,1825,8,Tue Jul 02 22:45:33 +0000 2019,60672,,,False,False,16138,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DrippityDropp', 'name': 'Here to Ratio that Tampa Fan', 'id': 1338922745220960257, 'id_str': '1338922745220960257', 'indices': [0, 14]}, {'screen_name': 'Officialj0nn', 'name': 'Official🧙\u200d♂️(0-0) And (8-5)', 'id': 1159673387788263427, 'id_str': '1159673387788263427', 'indices': [15, 28]}, {'screen_name': 'BR_NBA', 'name': 'Bleacher Report NBA', 'id': 36724576, 'id_str': '36724576', 'indices': [29, 36]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_banners/1146188186659491840/1590683155,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
source,1146188186659491840,1146188186659491840,₁₅𝕁𝕠𝕜𝕖𝕀𝕟𝔸𝔹𝕠𝕩 🃏,JokerWRLD,your head,,Jokic Stan | Drew Lock Stan | Jokic is Better than Embiid | #MileHighBasketball ⛏#BroncosCountry 🐴 #Rockies 🏔 #GoAvsGo ❄️ #HookEm🤘,,,False,1958,1825,8,Tue Jul 02 22:45:33 +0000 2019,60672,,,False,False,16138,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_banners/1146188186659491840/1590683155,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id,1146188186659491840,1146188186659491840,₁₅𝕁𝕠𝕜𝕖𝕀𝕟𝔸𝔹𝕠𝕩 🃏,JokerWRLD,your head,,Jokic Stan | Drew Lock Stan | Jokic is Better than Embiid | #MileHighBasketball ⛏#BroncosCountry 🐴 #Rockies 🏔 #GoAvsGo ❄️ #HookEm🤘,,,False,1958,1825,8,Tue Jul 02 22:45:33 +0000 2019,60672,,,False,False,16138,,1339025364807462912,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_banners/1146188186659491840/1590683155,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_status_id_str,1146188186659491840,1146188186659491840,₁₅𝕁𝕠𝕜𝕖𝕀𝕟𝔸𝔹𝕠𝕩 🃏,JokerWRLD,your head,,Jokic Stan | Drew Lock Stan | Jokic is Better than Embiid | #MileHighBasketball ⛏#BroncosCountry 🐴 #Rockies 🏔 #GoAvsGo ❄️ #HookEm🤘,,,False,1958,1825,8,Tue Jul 02 22:45:33 +0000 2019,60672,,,False,False,16138,,1339025364807462912,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_banners/1146188186659491840/1590683155,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
in_reply_to_user_id,1146188186659491840,1146188186659491840,₁₅𝕁𝕠𝕜𝕖𝕀𝕟𝔸𝔹𝕠𝕩 🃏,JokerWRLD,your head,,Jokic Stan | Drew Lock Stan | Jokic is Better than Embiid | #MileHighBasketball ⛏#BroncosCountry 🐴 #Rockies 🏔 #GoAvsGo ❄️ #HookEm🤘,,,False,1958,1825,8,Tue Jul 02 22:45:33 +0000 2019,60672,,,False,False,16138,,1338922745220960257,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_images/1300653499370397696/jryQUuUT_normal.jpg,https://pbs.twimg.com/profile_banners/1146188186659491840/1590683155,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none
