,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,2432074475,2432074475,AG 🐐🐐,_TheAnswer22,,,Matthew 5:16 | Galatians 2:20 | UCF ALUM 🏀💛,,{'urls': []},False,520,383,2,Sun Mar 23 23:09:58 +0000 2014,7319,,,True,False,15912,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333113181510770691/AnWkY5Qe_normal.jpg,https://pbs.twimg.com/profile_images/1333113181510770691/AnWkY5Qe_normal.jpg,https://pbs.twimg.com/profile_banners/2432074475/1580073793,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,2432074475,2432074475,AG 🐐🐐,_TheAnswer22,,,Matthew 5:16 | Galatians 2:20 | UCF ALUM 🏀💛,,,False,520,383,2,Sun Mar 23 23:09:58 +0000 2014,7319,,,True,False,15912,,Wed Dec 16 01:21:07 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333113181510770691/AnWkY5Qe_normal.jpg,https://pbs.twimg.com/profile_images/1333113181510770691/AnWkY5Qe_normal.jpg,https://pbs.twimg.com/profile_banners/2432074475/1580073793,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,2432074475,2432074475,AG 🐐🐐,_TheAnswer22,,,Matthew 5:16 | Galatians 2:20 | UCF ALUM 🏀💛,,,False,520,383,2,Sun Mar 23 23:09:58 +0000 2014,7319,,,True,False,15912,,1339017680276361218,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333113181510770691/AnWkY5Qe_normal.jpg,https://pbs.twimg.com/profile_images/1333113181510770691/AnWkY5Qe_normal.jpg,https://pbs.twimg.com/profile_banners/2432074475/1580073793,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,2432074475,2432074475,AG 🐐🐐,_TheAnswer22,,,Matthew 5:16 | Galatians 2:20 | UCF ALUM 🏀💛,,,False,520,383,2,Sun Mar 23 23:09:58 +0000 2014,7319,,,True,False,15912,,1339017680276361218,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333113181510770691/AnWkY5Qe_normal.jpg,https://pbs.twimg.com/profile_images/1333113181510770691/AnWkY5Qe_normal.jpg,https://pbs.twimg.com/profile_banners/2432074475/1580073793,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,2432074475,2432074475,AG 🐐🐐,_TheAnswer22,,,Matthew 5:16 | Galatians 2:20 | UCF ALUM 🏀💛,,,False,520,383,2,Sun Mar 23 23:09:58 +0000 2014,7319,,,True,False,15912,,So proud of my best friend 😭❤️,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333113181510770691/AnWkY5Qe_normal.jpg,https://pbs.twimg.com/profile_images/1333113181510770691/AnWkY5Qe_normal.jpg,https://pbs.twimg.com/profile_banners/2432074475/1580073793,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,2432074475,2432074475,AG 🐐🐐,_TheAnswer22,,,Matthew 5:16 | Galatians 2:20 | UCF ALUM 🏀💛,,,False,520,383,2,Sun Mar 23 23:09:58 +0000 2014,7319,,,True,False,15912,,False,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333113181510770691/AnWkY5Qe_normal.jpg,https://pbs.twimg.com/profile_images/1333113181510770691/AnWkY5Qe_normal.jpg,https://pbs.twimg.com/profile_banners/2432074475/1580073793,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,2432074475,2432074475,AG 🐐🐐,_TheAnswer22,,,Matthew 5:16 | Galatians 2:20 | UCF ALUM 🏀💛,,,False,520,383,2,Sun Mar 23 23:09:58 +0000 2014,7319,,,True,False,15912,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333113181510770691/AnWkY5Qe_normal.jpg,https://pbs.twimg.com/profile_images/1333113181510770691/AnWkY5Qe_normal.jpg,https://pbs.twimg.com/profile_banners/2432074475/1580073793,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,2432074475,2432074475,AG 🐐🐐,_TheAnswer22,,,Matthew 5:16 | Galatians 2:20 | UCF ALUM 🏀💛,,,False,520,383,2,Sun Mar 23 23:09:58 +0000 2014,7319,,,True,False,15912,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333113181510770691/AnWkY5Qe_normal.jpg,https://pbs.twimg.com/profile_images/1333113181510770691/AnWkY5Qe_normal.jpg,https://pbs.twimg.com/profile_banners/2432074475/1580073793,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,2432074475,2432074475,AG 🐐🐐,_TheAnswer22,,,Matthew 5:16 | Galatians 2:20 | UCF ALUM 🏀💛,,,False,520,383,2,Sun Mar 23 23:09:58 +0000 2014,7319,,,True,False,15912,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333113181510770691/AnWkY5Qe_normal.jpg,https://pbs.twimg.com/profile_images/1333113181510770691/AnWkY5Qe_normal.jpg,https://pbs.twimg.com/profile_banners/2432074475/1580073793,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,2432074475,2432074475,AG 🐐🐐,_TheAnswer22,,,Matthew 5:16 | Galatians 2:20 | UCF ALUM 🏀💛,,,False,520,383,2,Sun Mar 23 23:09:58 +0000 2014,7319,,,True,False,15912,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333113181510770691/AnWkY5Qe_normal.jpg,https://pbs.twimg.com/profile_images/1333113181510770691/AnWkY5Qe_normal.jpg,https://pbs.twimg.com/profile_banners/2432074475/1580073793,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,2432074475,2432074475,AG 🐐🐐,_TheAnswer22,,,Matthew 5:16 | Galatians 2:20 | UCF ALUM 🏀💛,,,False,520,383,2,Sun Mar 23 23:09:58 +0000 2014,7319,,,True,False,15912,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1333113181510770691/AnWkY5Qe_normal.jpg,https://pbs.twimg.com/profile_images/1333113181510770691/AnWkY5Qe_normal.jpg,https://pbs.twimg.com/profile_banners/2432074475/1580073793,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
