,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,37100659,37100659,Pixxistick Total Landscaping 🇺🇸,Pixxistick,Under your skin,,BLACK LIVES MATTER ✊🏽| Aggressively anti-racist | Afro Latina 🇵🇷💋| opinions are your mom’s 🤷🏽‍♀️,,{'urls': []},False,387,111,15,Sat May 02 01:18:48 +0000 2009,36425,,,True,False,40721,,,False,False,False,EBEBEB,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/1285058975302656005/kJmM5ss9_normal.jpg,https://pbs.twimg.com/profile_images/1285058975302656005/kJmM5ss9_normal.jpg,https://pbs.twimg.com/profile_banners/37100659/1599538841,990000,DFDFDF,F3F3F3,333333,True,True,False,False,False,False,False,none
created_at,37100659,37100659,Pixxistick Total Landscaping 🇺🇸,Pixxistick,Under your skin,,BLACK LIVES MATTER ✊🏽| Aggressively anti-racist | Afro Latina 🇵🇷💋| opinions are your mom’s 🤷🏽‍♀️,,,False,387,111,15,Sat May 02 01:18:48 +0000 2009,36425,,,True,False,40721,,Wed Dec 16 03:31:29 +0000 2020,False,False,False,EBEBEB,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/1285058975302656005/kJmM5ss9_normal.jpg,https://pbs.twimg.com/profile_images/1285058975302656005/kJmM5ss9_normal.jpg,https://pbs.twimg.com/profile_banners/37100659/1599538841,990000,DFDFDF,F3F3F3,333333,True,True,False,False,False,False,False,none
id,37100659,37100659,Pixxistick Total Landscaping 🇺🇸,Pixxistick,Under your skin,,BLACK LIVES MATTER ✊🏽| Aggressively anti-racist | Afro Latina 🇵🇷💋| opinions are your mom’s 🤷🏽‍♀️,,,False,387,111,15,Sat May 02 01:18:48 +0000 2009,36425,,,True,False,40721,,1339050490424922114,False,False,False,EBEBEB,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/1285058975302656005/kJmM5ss9_normal.jpg,https://pbs.twimg.com/profile_images/1285058975302656005/kJmM5ss9_normal.jpg,https://pbs.twimg.com/profile_banners/37100659/1599538841,990000,DFDFDF,F3F3F3,333333,True,True,False,False,False,False,False,none
id_str,37100659,37100659,Pixxistick Total Landscaping 🇺🇸,Pixxistick,Under your skin,,BLACK LIVES MATTER ✊🏽| Aggressively anti-racist | Afro Latina 🇵🇷💋| opinions are your mom’s 🤷🏽‍♀️,,,False,387,111,15,Sat May 02 01:18:48 +0000 2009,36425,,,True,False,40721,,1339050490424922114,False,False,False,EBEBEB,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/1285058975302656005/kJmM5ss9_normal.jpg,https://pbs.twimg.com/profile_images/1285058975302656005/kJmM5ss9_normal.jpg,https://pbs.twimg.com/profile_banners/37100659/1599538841,990000,DFDFDF,F3F3F3,333333,True,True,False,False,False,False,False,none
text,37100659,37100659,Pixxistick Total Landscaping 🇺🇸,Pixxistick,Under your skin,,BLACK LIVES MATTER ✊🏽| Aggressively anti-racist | Afro Latina 🇵🇷💋| opinions are your mom’s 🤷🏽‍♀️,,,False,387,111,15,Sat May 02 01:18:48 +0000 2009,36425,,,True,False,40721,,@leahonfilm @Kris38715722 @FilmUpdates Refer to above thread and apply reading comprehension. I have a long day of… https://t.co/yx81RFbWVn,False,False,False,EBEBEB,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/1285058975302656005/kJmM5ss9_normal.jpg,https://pbs.twimg.com/profile_images/1285058975302656005/kJmM5ss9_normal.jpg,https://pbs.twimg.com/profile_banners/37100659/1599538841,990000,DFDFDF,F3F3F3,333333,True,True,False,False,False,False,False,none
truncated,37100659,37100659,Pixxistick Total Landscaping 🇺🇸,Pixxistick,Under your skin,,BLACK LIVES MATTER ✊🏽| Aggressively anti-racist | Afro Latina 🇵🇷💋| opinions are your mom’s 🤷🏽‍♀️,,,False,387,111,15,Sat May 02 01:18:48 +0000 2009,36425,,,True,False,40721,,True,False,False,False,EBEBEB,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/1285058975302656005/kJmM5ss9_normal.jpg,https://pbs.twimg.com/profile_images/1285058975302656005/kJmM5ss9_normal.jpg,https://pbs.twimg.com/profile_banners/37100659/1599538841,990000,DFDFDF,F3F3F3,333333,True,True,False,False,False,False,False,none
entities,37100659,37100659,Pixxistick Total Landscaping 🇺🇸,Pixxistick,Under your skin,,BLACK LIVES MATTER ✊🏽| Aggressively anti-racist | Afro Latina 🇵🇷💋| opinions are your mom’s 🤷🏽‍♀️,,,False,387,111,15,Sat May 02 01:18:48 +0000 2009,36425,,,True,False,40721,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'leahonfilm', 'name': 'leah', 'id': 2969866564, 'id_str': '2969866564', 'indices': [0, 11]}, {'screen_name': 'Kris38715722', 'name': 'chomz', 'id': 956914111421534208, 'id_str': '956914111421534208', 'indices': [12, 25]}, {'screen_name': 'FilmUpdates', 'name': 'Film Updates', 'id': 1011312260805996547, 'id_str': '1011312260805996547', 'indices': [26, 38]}], 'urls': [{'url': 'https://t.co/yx81RFbWVn', 'expanded_url': 'https://twitter.com/i/web/status/1339050490424922114', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]}",False,False,False,EBEBEB,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/1285058975302656005/kJmM5ss9_normal.jpg,https://pbs.twimg.com/profile_images/1285058975302656005/kJmM5ss9_normal.jpg,https://pbs.twimg.com/profile_banners/37100659/1599538841,990000,DFDFDF,F3F3F3,333333,True,True,False,False,False,False,False,none
source,37100659,37100659,Pixxistick Total Landscaping 🇺🇸,Pixxistick,Under your skin,,BLACK LIVES MATTER ✊🏽| Aggressively anti-racist | Afro Latina 🇵🇷💋| opinions are your mom’s 🤷🏽‍♀️,,,False,387,111,15,Sat May 02 01:18:48 +0000 2009,36425,,,True,False,40721,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,EBEBEB,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/1285058975302656005/kJmM5ss9_normal.jpg,https://pbs.twimg.com/profile_images/1285058975302656005/kJmM5ss9_normal.jpg,https://pbs.twimg.com/profile_banners/37100659/1599538841,990000,DFDFDF,F3F3F3,333333,True,True,False,False,False,False,False,none
in_reply_to_status_id,37100659,37100659,Pixxistick Total Landscaping 🇺🇸,Pixxistick,Under your skin,,BLACK LIVES MATTER ✊🏽| Aggressively anti-racist | Afro Latina 🇵🇷💋| opinions are your mom’s 🤷🏽‍♀️,,,False,387,111,15,Sat May 02 01:18:48 +0000 2009,36425,,,True,False,40721,,1339049124419809280,False,False,False,EBEBEB,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/1285058975302656005/kJmM5ss9_normal.jpg,https://pbs.twimg.com/profile_images/1285058975302656005/kJmM5ss9_normal.jpg,https://pbs.twimg.com/profile_banners/37100659/1599538841,990000,DFDFDF,F3F3F3,333333,True,True,False,False,False,False,False,none
in_reply_to_status_id_str,37100659,37100659,Pixxistick Total Landscaping 🇺🇸,Pixxistick,Under your skin,,BLACK LIVES MATTER ✊🏽| Aggressively anti-racist | Afro Latina 🇵🇷💋| opinions are your mom’s 🤷🏽‍♀️,,,False,387,111,15,Sat May 02 01:18:48 +0000 2009,36425,,,True,False,40721,,1339049124419809280,False,False,False,EBEBEB,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,False,http://pbs.twimg.com/profile_images/1285058975302656005/kJmM5ss9_normal.jpg,https://pbs.twimg.com/profile_images/1285058975302656005/kJmM5ss9_normal.jpg,https://pbs.twimg.com/profile_banners/37100659/1599538841,990000,DFDFDF,F3F3F3,333333,True,True,False,False,False,False,False,none
