,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1057129052740423680,1057129052740423680,Lee | 🌈 Koi Catboy!,P0CKETKNIFE,,,🌈 | Lee • he/him • 19 • Retweets are appreciated!! | ☆ Icon by @/poofyoutlaw,https://t.co/4P6D7i7adn,"{'urls': [{'url': 'https://t.co/4P6D7i7adn', 'expanded_url': 'https://p0cketknife.carrd.co/', 'display_url': 'p0cketknife.carrd.co', 'indices': [0, 23]}]}",False,254,289,5,Tue Oct 30 04:36:21 +0000 2018,3997,,,False,False,2808,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_banners/1057129052740423680/1540874573,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1057129052740423680,1057129052740423680,Lee | 🌈 Koi Catboy!,P0CKETKNIFE,,,🌈 | Lee • he/him • 19 • Retweets are appreciated!! | ☆ Icon by @/poofyoutlaw,https://t.co/4P6D7i7adn,{'urls': []},False,254,289,5,Tue Oct 30 04:36:21 +0000 2018,3997,,,False,False,2808,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_banners/1057129052740423680/1540874573,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1057129052740423680,1057129052740423680,Lee | 🌈 Koi Catboy!,P0CKETKNIFE,,,🌈 | Lee • he/him • 19 • Retweets are appreciated!! | ☆ Icon by @/poofyoutlaw,https://t.co/4P6D7i7adn,,False,254,289,5,Tue Oct 30 04:36:21 +0000 2018,3997,,,False,False,2808,,Wed Dec 16 02:44:26 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_banners/1057129052740423680/1540874573,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1057129052740423680,1057129052740423680,Lee | 🌈 Koi Catboy!,P0CKETKNIFE,,,🌈 | Lee • he/him • 19 • Retweets are appreciated!! | ☆ Icon by @/poofyoutlaw,https://t.co/4P6D7i7adn,,False,254,289,5,Tue Oct 30 04:36:21 +0000 2018,3997,,,False,False,2808,,1339038647052607490,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_banners/1057129052740423680/1540874573,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1057129052740423680,1057129052740423680,Lee | 🌈 Koi Catboy!,P0CKETKNIFE,,,🌈 | Lee • he/him • 19 • Retweets are appreciated!! | ☆ Icon by @/poofyoutlaw,https://t.co/4P6D7i7adn,,False,254,289,5,Tue Oct 30 04:36:21 +0000 2018,3997,,,False,False,2808,,1339038647052607490,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_banners/1057129052740423680/1540874573,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1057129052740423680,1057129052740423680,Lee | 🌈 Koi Catboy!,P0CKETKNIFE,,,🌈 | Lee • he/him • 19 • Retweets are appreciated!! | ☆ Icon by @/poofyoutlaw,https://t.co/4P6D7i7adn,,False,254,289,5,Tue Oct 30 04:36:21 +0000 2018,3997,,,False,False,2808,,@rukulpa Do it!!! I have like five it's valid :'),False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_banners/1057129052740423680/1540874573,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1057129052740423680,1057129052740423680,Lee | 🌈 Koi Catboy!,P0CKETKNIFE,,,🌈 | Lee • he/him • 19 • Retweets are appreciated!! | ☆ Icon by @/poofyoutlaw,https://t.co/4P6D7i7adn,,False,254,289,5,Tue Oct 30 04:36:21 +0000 2018,3997,,,False,False,2808,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_banners/1057129052740423680/1540874573,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1057129052740423680,1057129052740423680,Lee | 🌈 Koi Catboy!,P0CKETKNIFE,,,🌈 | Lee • he/him • 19 • Retweets are appreciated!! | ☆ Icon by @/poofyoutlaw,https://t.co/4P6D7i7adn,,False,254,289,5,Tue Oct 30 04:36:21 +0000 2018,3997,,,False,False,2808,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rukulpa', 'name': ""Sabu's Puppy Boyfriend 🐶❤🦁"", 'id': 1284772097718390785, 'id_str': '1284772097718390785', 'indices': [0, 8]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_banners/1057129052740423680/1540874573,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1057129052740423680,1057129052740423680,Lee | 🌈 Koi Catboy!,P0CKETKNIFE,,,🌈 | Lee • he/him • 19 • Retweets are appreciated!! | ☆ Icon by @/poofyoutlaw,https://t.co/4P6D7i7adn,,False,254,289,5,Tue Oct 30 04:36:21 +0000 2018,3997,,,False,False,2808,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_banners/1057129052740423680/1540874573,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1057129052740423680,1057129052740423680,Lee | 🌈 Koi Catboy!,P0CKETKNIFE,,,🌈 | Lee • he/him • 19 • Retweets are appreciated!! | ☆ Icon by @/poofyoutlaw,https://t.co/4P6D7i7adn,,False,254,289,5,Tue Oct 30 04:36:21 +0000 2018,3997,,,False,False,2808,,1339038110865387526,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_banners/1057129052740423680/1540874573,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1057129052740423680,1057129052740423680,Lee | 🌈 Koi Catboy!,P0CKETKNIFE,,,🌈 | Lee • he/him • 19 • Retweets are appreciated!! | ☆ Icon by @/poofyoutlaw,https://t.co/4P6D7i7adn,,False,254,289,5,Tue Oct 30 04:36:21 +0000 2018,3997,,,False,False,2808,,1339038110865387526,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_images/1321432133991280643/tNVxyEJf_normal.jpg,https://pbs.twimg.com/profile_banners/1057129052740423680/1540874573,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
