,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,2357783005,2357783005,ash will hug taylor soon ♡,evermoredlover,,,dreaming to meet taylor or be in her concerts | since fearless era | eng'g student | int-j | love&kindness | MeredithIsMyBae | ilysm @taylorswift13,https://t.co/228AZTrDmA,"{'urls': [{'url': 'https://t.co/228AZTrDmA', 'expanded_url': 'http://MeredithIsMyBae.tumblr.com', 'display_url': 'MeredithIsMyBae.tumblr.com', 'indices': [0, 23]}]}",False,2640,1797,18,Sun Feb 23 09:58:24 +0000 2014,8634,,,False,False,12789,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_banners/2357783005/1607945960,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,2357783005,2357783005,ash will hug taylor soon ♡,evermoredlover,,,dreaming to meet taylor or be in her concerts | since fearless era | eng'g student | int-j | love&kindness | MeredithIsMyBae | ilysm @taylorswift13,https://t.co/228AZTrDmA,{'urls': []},False,2640,1797,18,Sun Feb 23 09:58:24 +0000 2014,8634,,,False,False,12789,,,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_banners/2357783005/1607945960,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,2357783005,2357783005,ash will hug taylor soon ♡,evermoredlover,,,dreaming to meet taylor or be in her concerts | since fearless era | eng'g student | int-j | love&kindness | MeredithIsMyBae | ilysm @taylorswift13,https://t.co/228AZTrDmA,,False,2640,1797,18,Sun Feb 23 09:58:24 +0000 2014,8634,,,False,False,12789,,Wed Dec 16 03:56:34 +0000 2020,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_banners/2357783005/1607945960,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,2357783005,2357783005,ash will hug taylor soon ♡,evermoredlover,,,dreaming to meet taylor or be in her concerts | since fearless era | eng'g student | int-j | love&kindness | MeredithIsMyBae | ilysm @taylorswift13,https://t.co/228AZTrDmA,,False,2640,1797,18,Sun Feb 23 09:58:24 +0000 2014,8634,,,False,False,12789,,1339056800222494721,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_banners/2357783005/1607945960,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,2357783005,2357783005,ash will hug taylor soon ♡,evermoredlover,,,dreaming to meet taylor or be in her concerts | since fearless era | eng'g student | int-j | love&kindness | MeredithIsMyBae | ilysm @taylorswift13,https://t.co/228AZTrDmA,,False,2640,1797,18,Sun Feb 23 09:58:24 +0000 2014,8634,,,False,False,12789,,1339056800222494721,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_banners/2357783005/1607945960,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,2357783005,2357783005,ash will hug taylor soon ♡,evermoredlover,,,dreaming to meet taylor or be in her concerts | since fearless era | eng'g student | int-j | love&kindness | MeredithIsMyBae | ilysm @taylorswift13,https://t.co/228AZTrDmA,,False,2640,1797,18,Sun Feb 23 09:58:24 +0000 2014,8634,,,False,False,12789,,"@taylornation13 @Carrie_Sterner WRECK my PLANS, that’s my TN!! streaming #willow   imma go with the moonlit witch v… https://t.co/2uo4ABIHnJ",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_banners/2357783005/1607945960,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,2357783005,2357783005,ash will hug taylor soon ♡,evermoredlover,,,dreaming to meet taylor or be in her concerts | since fearless era | eng'g student | int-j | love&kindness | MeredithIsMyBae | ilysm @taylorswift13,https://t.co/228AZTrDmA,,False,2640,1797,18,Sun Feb 23 09:58:24 +0000 2014,8634,,,False,False,12789,,True,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_banners/2357783005/1607945960,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,2357783005,2357783005,ash will hug taylor soon ♡,evermoredlover,,,dreaming to meet taylor or be in her concerts | since fearless era | eng'g student | int-j | love&kindness | MeredithIsMyBae | ilysm @taylorswift13,https://t.co/228AZTrDmA,,False,2640,1797,18,Sun Feb 23 09:58:24 +0000 2014,8634,,,False,False,12789,,"{'hashtags': [{'text': 'willow', 'indices': [73, 80]}], 'symbols': [], 'user_mentions': [{'screen_name': 'taylornation13', 'name': 'Taylor Nation', 'id': 80144576, 'id_str': '80144576', 'indices': [0, 15]}, {'screen_name': 'Carrie_Sterner', 'name': '𝓛𝑜𝓋𝑒, Carrie', 'id': 311167912, 'id_str': '311167912', 'indices': [16, 31]}], 'urls': [{'url': 'https://t.co/2uo4ABIHnJ', 'expanded_url': 'https://twitter.com/i/web/status/1339056800222494721', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_banners/2357783005/1607945960,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,2357783005,2357783005,ash will hug taylor soon ♡,evermoredlover,,,dreaming to meet taylor or be in her concerts | since fearless era | eng'g student | int-j | love&kindness | MeredithIsMyBae | ilysm @taylorswift13,https://t.co/228AZTrDmA,,False,2640,1797,18,Sun Feb 23 09:58:24 +0000 2014,8634,,,False,False,12789,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_banners/2357783005/1607945960,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,2357783005,2357783005,ash will hug taylor soon ♡,evermoredlover,,,dreaming to meet taylor or be in her concerts | since fearless era | eng'g student | int-j | love&kindness | MeredithIsMyBae | ilysm @taylorswift13,https://t.co/228AZTrDmA,,False,2640,1797,18,Sun Feb 23 09:58:24 +0000 2014,8634,,,False,False,12789,,1339056542142828548,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_banners/2357783005/1607945960,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,2357783005,2357783005,ash will hug taylor soon ♡,evermoredlover,,,dreaming to meet taylor or be in her concerts | since fearless era | eng'g student | int-j | love&kindness | MeredithIsMyBae | ilysm @taylorswift13,https://t.co/228AZTrDmA,,False,2640,1797,18,Sun Feb 23 09:58:24 +0000 2014,8634,,,False,False,12789,,1339056542142828548,False,False,False,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_images/1338448477613744129/317Cn7mD_normal.jpg,https://pbs.twimg.com/profile_banners/2357783005/1607945960,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
