,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1257393493871296517,1257393493871296517,KroNyx Follows Back,imkronyx,BLACK LIVES MATTER ,,15 | He/Him | 🏳️‍🌈 | @Ecooleye1 | @Vzmpii | Grinding for @TheTeamContinue | @kronyxalt,https://t.co/I4nNwOtNQS,"{'urls': [{'url': 'https://t.co/I4nNwOtNQS', 'expanded_url': 'https://www.youtube.com/channel/UCmGr_h-2e_yZV4OG6n5ww2Q', 'display_url': 'youtube.com/channel/UCmGr_…', 'indices': [0, 23]}]}",False,207,916,0,Mon May 04 19:35:52 +0000 2020,1809,,,False,False,566,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_banners/1257393493871296517/1607895443,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1257393493871296517,1257393493871296517,KroNyx Follows Back,imkronyx,BLACK LIVES MATTER ,,15 | He/Him | 🏳️‍🌈 | @Ecooleye1 | @Vzmpii | Grinding for @TheTeamContinue | @kronyxalt,https://t.co/I4nNwOtNQS,{'urls': []},False,207,916,0,Mon May 04 19:35:52 +0000 2020,1809,,,False,False,566,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_banners/1257393493871296517/1607895443,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1257393493871296517,1257393493871296517,KroNyx Follows Back,imkronyx,BLACK LIVES MATTER ,,15 | He/Him | 🏳️‍🌈 | @Ecooleye1 | @Vzmpii | Grinding for @TheTeamContinue | @kronyxalt,https://t.co/I4nNwOtNQS,,False,207,916,0,Mon May 04 19:35:52 +0000 2020,1809,,,False,False,566,,Wed Dec 16 01:39:36 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_banners/1257393493871296517/1607895443,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1257393493871296517,1257393493871296517,KroNyx Follows Back,imkronyx,BLACK LIVES MATTER ,,15 | He/Him | 🏳️‍🌈 | @Ecooleye1 | @Vzmpii | Grinding for @TheTeamContinue | @kronyxalt,https://t.co/I4nNwOtNQS,,False,207,916,0,Mon May 04 19:35:52 +0000 2020,1809,,,False,False,566,,1339022334213033985,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_banners/1257393493871296517/1607895443,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1257393493871296517,1257393493871296517,KroNyx Follows Back,imkronyx,BLACK LIVES MATTER ,,15 | He/Him | 🏳️‍🌈 | @Ecooleye1 | @Vzmpii | Grinding for @TheTeamContinue | @kronyxalt,https://t.co/I4nNwOtNQS,,False,207,916,0,Mon May 04 19:35:52 +0000 2020,1809,,,False,False,566,,1339022334213033985,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_banners/1257393493871296517/1607895443,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1257393493871296517,1257393493871296517,KroNyx Follows Back,imkronyx,BLACK LIVES MATTER ,,15 | He/Him | 🏳️‍🌈 | @Ecooleye1 | @Vzmpii | Grinding for @TheTeamContinue | @kronyxalt,https://t.co/I4nNwOtNQS,,False,207,916,0,Mon May 04 19:35:52 +0000 2020,1809,,,False,False,566,,@Ewok @ecooleye1 remember when we were walking by your neighbors house and.... well you know 💀,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_banners/1257393493871296517/1607895443,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1257393493871296517,1257393493871296517,KroNyx Follows Back,imkronyx,BLACK LIVES MATTER ,,15 | He/Him | 🏳️‍🌈 | @Ecooleye1 | @Vzmpii | Grinding for @TheTeamContinue | @kronyxalt,https://t.co/I4nNwOtNQS,,False,207,916,0,Mon May 04 19:35:52 +0000 2020,1809,,,False,False,566,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_banners/1257393493871296517/1607895443,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1257393493871296517,1257393493871296517,KroNyx Follows Back,imkronyx,BLACK LIVES MATTER ,,15 | He/Him | 🏳️‍🌈 | @Ecooleye1 | @Vzmpii | Grinding for @TheTeamContinue | @kronyxalt,https://t.co/I4nNwOtNQS,,False,207,916,0,Mon May 04 19:35:52 +0000 2020,1809,,,False,False,566,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Ewok', 'name': 'FaZe Ewok', 'id': 1106723014610243585, 'id_str': '1106723014610243585', 'indices': [0, 5]}, {'screen_name': 'ecooleye1', 'name': 'CLD Ecool', 'id': 1289399782352486400, 'id_str': '1289399782352486400', 'indices': [6, 16]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_banners/1257393493871296517/1607895443,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1257393493871296517,1257393493871296517,KroNyx Follows Back,imkronyx,BLACK LIVES MATTER ,,15 | He/Him | 🏳️‍🌈 | @Ecooleye1 | @Vzmpii | Grinding for @TheTeamContinue | @kronyxalt,https://t.co/I4nNwOtNQS,,False,207,916,0,Mon May 04 19:35:52 +0000 2020,1809,,,False,False,566,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_banners/1257393493871296517/1607895443,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1257393493871296517,1257393493871296517,KroNyx Follows Back,imkronyx,BLACK LIVES MATTER ,,15 | He/Him | 🏳️‍🌈 | @Ecooleye1 | @Vzmpii | Grinding for @TheTeamContinue | @kronyxalt,https://t.co/I4nNwOtNQS,,False,207,916,0,Mon May 04 19:35:52 +0000 2020,1809,,,False,False,566,,1338995374460178432,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_banners/1257393493871296517/1607895443,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1257393493871296517,1257393493871296517,KroNyx Follows Back,imkronyx,BLACK LIVES MATTER ,,15 | He/Him | 🏳️‍🌈 | @Ecooleye1 | @Vzmpii | Grinding for @TheTeamContinue | @kronyxalt,https://t.co/I4nNwOtNQS,,False,207,916,0,Mon May 04 19:35:52 +0000 2020,1809,,,False,False,566,,1338995374460178432,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_banners/1257393493871296517/1607895443,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1257393493871296517,1257393493871296517,KroNyx Follows Back,imkronyx,BLACK LIVES MATTER ,,15 | He/Him | 🏳️‍🌈 | @Ecooleye1 | @Vzmpii | Grinding for @TheTeamContinue | @kronyxalt,https://t.co/I4nNwOtNQS,,False,207,916,0,Mon May 04 19:35:52 +0000 2020,1809,,,False,False,566,,1106723014610243585,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_banners/1257393493871296517/1607895443,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id_str,1257393493871296517,1257393493871296517,KroNyx Follows Back,imkronyx,BLACK LIVES MATTER ,,15 | He/Him | 🏳️‍🌈 | @Ecooleye1 | @Vzmpii | Grinding for @TheTeamContinue | @kronyxalt,https://t.co/I4nNwOtNQS,,False,207,916,0,Mon May 04 19:35:52 +0000 2020,1809,,,False,False,566,,1106723014610243585,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_banners/1257393493871296517/1607895443,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_screen_name,1257393493871296517,1257393493871296517,KroNyx Follows Back,imkronyx,BLACK LIVES MATTER ,,15 | He/Him | 🏳️‍🌈 | @Ecooleye1 | @Vzmpii | Grinding for @TheTeamContinue | @kronyxalt,https://t.co/I4nNwOtNQS,,False,207,916,0,Mon May 04 19:35:52 +0000 2020,1809,,,False,False,566,,Ewok,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_images/1335763938919780352/z6eVn6xd_normal.jpg,https://pbs.twimg.com/profile_banners/1257393493871296517/1607895443,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
