,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,707099852446896128,707099852446896128,Zork (TheDork),SoCalZork,Cutest girl you’ll meet ;),,PFP by @Yumecan2. Practically retired Smasher 😰. 💜 FFXIV - DRG 💜 Huge Sonic fan who hates Sonic. | 🏆 Hunter!,https://t.co/vnUQLhACly,"{'urls': [{'url': 'https://t.co/vnUQLhACly', 'expanded_url': 'https://psntrophyleaders.com/user/view/ZorkTheDork', 'display_url': 'psntrophyleaders.com/user/view/Zork…', 'indices': [0, 23]}]}",False,575,345,1,Tue Mar 08 07:05:16 +0000 2016,15843,,,False,False,14834,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1257926750530490368/TrEl5k89_normal.jpg,https://pbs.twimg.com/profile_images/1257926750530490368/TrEl5k89_normal.jpg,https://pbs.twimg.com/profile_banners/707099852446896128/1596866646,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none
description,707099852446896128,707099852446896128,Zork (TheDork),SoCalZork,Cutest girl you’ll meet ;),,PFP by @Yumecan2. Practically retired Smasher 😰. 💜 FFXIV - DRG 💜 Huge Sonic fan who hates Sonic. | 🏆 Hunter!,https://t.co/vnUQLhACly,{'urls': []},False,575,345,1,Tue Mar 08 07:05:16 +0000 2016,15843,,,False,False,14834,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1257926750530490368/TrEl5k89_normal.jpg,https://pbs.twimg.com/profile_images/1257926750530490368/TrEl5k89_normal.jpg,https://pbs.twimg.com/profile_banners/707099852446896128/1596866646,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none
created_at,707099852446896128,707099852446896128,Zork (TheDork),SoCalZork,Cutest girl you’ll meet ;),,PFP by @Yumecan2. Practically retired Smasher 😰. 💜 FFXIV - DRG 💜 Huge Sonic fan who hates Sonic. | 🏆 Hunter!,https://t.co/vnUQLhACly,,False,575,345,1,Tue Mar 08 07:05:16 +0000 2016,15843,,,False,False,14834,,Wed Dec 16 04:17:51 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1257926750530490368/TrEl5k89_normal.jpg,https://pbs.twimg.com/profile_images/1257926750530490368/TrEl5k89_normal.jpg,https://pbs.twimg.com/profile_banners/707099852446896128/1596866646,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none
id,707099852446896128,707099852446896128,Zork (TheDork),SoCalZork,Cutest girl you’ll meet ;),,PFP by @Yumecan2. Practically retired Smasher 😰. 💜 FFXIV - DRG 💜 Huge Sonic fan who hates Sonic. | 🏆 Hunter!,https://t.co/vnUQLhACly,,False,575,345,1,Tue Mar 08 07:05:16 +0000 2016,15843,,,False,False,14834,,1339062156008980480,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1257926750530490368/TrEl5k89_normal.jpg,https://pbs.twimg.com/profile_images/1257926750530490368/TrEl5k89_normal.jpg,https://pbs.twimg.com/profile_banners/707099852446896128/1596866646,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none
id_str,707099852446896128,707099852446896128,Zork (TheDork),SoCalZork,Cutest girl you’ll meet ;),,PFP by @Yumecan2. Practically retired Smasher 😰. 💜 FFXIV - DRG 💜 Huge Sonic fan who hates Sonic. | 🏆 Hunter!,https://t.co/vnUQLhACly,,False,575,345,1,Tue Mar 08 07:05:16 +0000 2016,15843,,,False,False,14834,,1339062156008980480,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1257926750530490368/TrEl5k89_normal.jpg,https://pbs.twimg.com/profile_images/1257926750530490368/TrEl5k89_normal.jpg,https://pbs.twimg.com/profile_banners/707099852446896128/1596866646,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none
text,707099852446896128,707099852446896128,Zork (TheDork),SoCalZork,Cutest girl you’ll meet ;),,PFP by @Yumecan2. Practically retired Smasher 😰. 💜 FFXIV - DRG 💜 Huge Sonic fan who hates Sonic. | 🏆 Hunter!,https://t.co/vnUQLhACly,,False,575,345,1,Tue Mar 08 07:05:16 +0000 2016,15843,,,False,False,14834,,@TheMissingYink I was in the audience that day too. Even on camera at times. Good day. ☺,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1257926750530490368/TrEl5k89_normal.jpg,https://pbs.twimg.com/profile_images/1257926750530490368/TrEl5k89_normal.jpg,https://pbs.twimg.com/profile_banners/707099852446896128/1596866646,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none
truncated,707099852446896128,707099852446896128,Zork (TheDork),SoCalZork,Cutest girl you’ll meet ;),,PFP by @Yumecan2. Practically retired Smasher 😰. 💜 FFXIV - DRG 💜 Huge Sonic fan who hates Sonic. | 🏆 Hunter!,https://t.co/vnUQLhACly,,False,575,345,1,Tue Mar 08 07:05:16 +0000 2016,15843,,,False,False,14834,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1257926750530490368/TrEl5k89_normal.jpg,https://pbs.twimg.com/profile_images/1257926750530490368/TrEl5k89_normal.jpg,https://pbs.twimg.com/profile_banners/707099852446896128/1596866646,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none
entities,707099852446896128,707099852446896128,Zork (TheDork),SoCalZork,Cutest girl you’ll meet ;),,PFP by @Yumecan2. Practically retired Smasher 😰. 💜 FFXIV - DRG 💜 Huge Sonic fan who hates Sonic. | 🏆 Hunter!,https://t.co/vnUQLhACly,,False,575,345,1,Tue Mar 08 07:05:16 +0000 2016,15843,,,False,False,14834,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TheMissingYink', 'name': 'Chloe / yink', 'id': 2495315190, 'id_str': '2495315190', 'indices': [0, 15]}], 'urls': []}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1257926750530490368/TrEl5k89_normal.jpg,https://pbs.twimg.com/profile_images/1257926750530490368/TrEl5k89_normal.jpg,https://pbs.twimg.com/profile_banners/707099852446896128/1596866646,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none
source,707099852446896128,707099852446896128,Zork (TheDork),SoCalZork,Cutest girl you’ll meet ;),,PFP by @Yumecan2. Practically retired Smasher 😰. 💜 FFXIV - DRG 💜 Huge Sonic fan who hates Sonic. | 🏆 Hunter!,https://t.co/vnUQLhACly,,False,575,345,1,Tue Mar 08 07:05:16 +0000 2016,15843,,,False,False,14834,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1257926750530490368/TrEl5k89_normal.jpg,https://pbs.twimg.com/profile_images/1257926750530490368/TrEl5k89_normal.jpg,https://pbs.twimg.com/profile_banners/707099852446896128/1596866646,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none
in_reply_to_status_id,707099852446896128,707099852446896128,Zork (TheDork),SoCalZork,Cutest girl you’ll meet ;),,PFP by @Yumecan2. Practically retired Smasher 😰. 💜 FFXIV - DRG 💜 Huge Sonic fan who hates Sonic. | 🏆 Hunter!,https://t.co/vnUQLhACly,,False,575,345,1,Tue Mar 08 07:05:16 +0000 2016,15843,,,False,False,14834,,1339041756462149633,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1257926750530490368/TrEl5k89_normal.jpg,https://pbs.twimg.com/profile_images/1257926750530490368/TrEl5k89_normal.jpg,https://pbs.twimg.com/profile_banners/707099852446896128/1596866646,FAB81E,000000,000000,000000,False,False,False,False,False,False,False,none
