,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1001192659975786498,1001192659975786498,tommy 🎄 | gold rush stan,contrarianshit,"California, USA",,"i did something bad, august, & christmas tree farm enthusiast | 17 • latino • he/him | tn x3 ts x1 | haven’t met taylor",,{'urls': []},False,4035,3714,13,Mon May 28 20:05:06 +0000 2018,87440,,,True,False,10491,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338943096533368832/cSAp-UDn_normal.jpg,https://pbs.twimg.com/profile_images/1338943096533368832/cSAp-UDn_normal.jpg,https://pbs.twimg.com/profile_banners/1001192659975786498/1607622897,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1001192659975786498,1001192659975786498,tommy 🎄 | gold rush stan,contrarianshit,"California, USA",,"i did something bad, august, & christmas tree farm enthusiast | 17 • latino • he/him | tn x3 ts x1 | haven’t met taylor",,,False,4035,3714,13,Mon May 28 20:05:06 +0000 2018,87440,,,True,False,10491,,Wed Dec 16 05:14:37 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338943096533368832/cSAp-UDn_normal.jpg,https://pbs.twimg.com/profile_images/1338943096533368832/cSAp-UDn_normal.jpg,https://pbs.twimg.com/profile_banners/1001192659975786498/1607622897,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1001192659975786498,1001192659975786498,tommy 🎄 | gold rush stan,contrarianshit,"California, USA",,"i did something bad, august, & christmas tree farm enthusiast | 17 • latino • he/him | tn x3 ts x1 | haven’t met taylor",,,False,4035,3714,13,Mon May 28 20:05:06 +0000 2018,87440,,,True,False,10491,,1339076441909022720,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338943096533368832/cSAp-UDn_normal.jpg,https://pbs.twimg.com/profile_images/1338943096533368832/cSAp-UDn_normal.jpg,https://pbs.twimg.com/profile_banners/1001192659975786498/1607622897,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1001192659975786498,1001192659975786498,tommy 🎄 | gold rush stan,contrarianshit,"California, USA",,"i did something bad, august, & christmas tree farm enthusiast | 17 • latino • he/him | tn x3 ts x1 | haven’t met taylor",,,False,4035,3714,13,Mon May 28 20:05:06 +0000 2018,87440,,,True,False,10491,,1339076441909022720,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338943096533368832/cSAp-UDn_normal.jpg,https://pbs.twimg.com/profile_images/1338943096533368832/cSAp-UDn_normal.jpg,https://pbs.twimg.com/profile_banners/1001192659975786498/1607622897,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1001192659975786498,1001192659975786498,tommy 🎄 | gold rush stan,contrarianshit,"California, USA",,"i did something bad, august, & christmas tree farm enthusiast | 17 • latino • he/him | tn x3 ts x1 | haven’t met taylor",,,False,4035,3714,13,Mon May 28 20:05:06 +0000 2018,87440,,,True,False,10491,,"RT @andyissalover: Taylor Swift really said “I don’t want to see you breathe again” when she followed willow with champagne problems, conti…",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338943096533368832/cSAp-UDn_normal.jpg,https://pbs.twimg.com/profile_images/1338943096533368832/cSAp-UDn_normal.jpg,https://pbs.twimg.com/profile_banners/1001192659975786498/1607622897,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1001192659975786498,1001192659975786498,tommy 🎄 | gold rush stan,contrarianshit,"California, USA",,"i did something bad, august, & christmas tree farm enthusiast | 17 • latino • he/him | tn x3 ts x1 | haven’t met taylor",,,False,4035,3714,13,Mon May 28 20:05:06 +0000 2018,87440,,,True,False,10491,,False,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338943096533368832/cSAp-UDn_normal.jpg,https://pbs.twimg.com/profile_images/1338943096533368832/cSAp-UDn_normal.jpg,https://pbs.twimg.com/profile_banners/1001192659975786498/1607622897,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1001192659975786498,1001192659975786498,tommy 🎄 | gold rush stan,contrarianshit,"California, USA",,"i did something bad, august, & christmas tree farm enthusiast | 17 • latino • he/him | tn x3 ts x1 | haven’t met taylor",,,False,4035,3714,13,Mon May 28 20:05:06 +0000 2018,87440,,,True,False,10491,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'andyissalover', 'name': 'Andy', 'id': 791019786645843968, 'id_str': '791019786645843968', 'indices': [3, 17]}], 'urls': []}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338943096533368832/cSAp-UDn_normal.jpg,https://pbs.twimg.com/profile_images/1338943096533368832/cSAp-UDn_normal.jpg,https://pbs.twimg.com/profile_banners/1001192659975786498/1607622897,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1001192659975786498,1001192659975786498,tommy 🎄 | gold rush stan,contrarianshit,"California, USA",,"i did something bad, august, & christmas tree farm enthusiast | 17 • latino • he/him | tn x3 ts x1 | haven’t met taylor",,,False,4035,3714,13,Mon May 28 20:05:06 +0000 2018,87440,,,True,False,10491,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338943096533368832/cSAp-UDn_normal.jpg,https://pbs.twimg.com/profile_images/1338943096533368832/cSAp-UDn_normal.jpg,https://pbs.twimg.com/profile_banners/1001192659975786498/1607622897,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1001192659975786498,1001192659975786498,tommy 🎄 | gold rush stan,contrarianshit,"California, USA",,"i did something bad, august, & christmas tree farm enthusiast | 17 • latino • he/him | tn x3 ts x1 | haven’t met taylor",,,False,4035,3714,13,Mon May 28 20:05:06 +0000 2018,87440,,,True,False,10491,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338943096533368832/cSAp-UDn_normal.jpg,https://pbs.twimg.com/profile_images/1338943096533368832/cSAp-UDn_normal.jpg,https://pbs.twimg.com/profile_banners/1001192659975786498/1607622897,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1001192659975786498,1001192659975786498,tommy 🎄 | gold rush stan,contrarianshit,"California, USA",,"i did something bad, august, & christmas tree farm enthusiast | 17 • latino • he/him | tn x3 ts x1 | haven’t met taylor",,,False,4035,3714,13,Mon May 28 20:05:06 +0000 2018,87440,,,True,False,10491,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1338943096533368832/cSAp-UDn_normal.jpg,https://pbs.twimg.com/profile_images/1338943096533368832/cSAp-UDn_normal.jpg,https://pbs.twimg.com/profile_banners/1001192659975786498/1607622897,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
