,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,1304449372944363520,1304449372944363520,bog 🦑 || 📌,catboyy_kaidou,14 • lesbian • poc • nd,,papa johns follows 😏 | enfp | she/he/they | carrd in progress,https://t.co/UR3rSsS4D8,"{'urls': [{'url': 'https://t.co/UR3rSsS4D8', 'expanded_url': 'http://getinformed.carrd.co', 'display_url': 'getinformed.carrd.co', 'indices': [0, 23]}]}",False,1014,998,29,Fri Sep 11 15:59:10 +0000 2020,12769,,,False,False,12591,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_banners/1304449372944363520/1607275957,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
description,1304449372944363520,1304449372944363520,bog 🦑 || 📌,catboyy_kaidou,14 • lesbian • poc • nd,,papa johns follows 😏 | enfp | she/he/they | carrd in progress,https://t.co/UR3rSsS4D8,{'urls': []},False,1014,998,29,Fri Sep 11 15:59:10 +0000 2020,12769,,,False,False,12591,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_banners/1304449372944363520/1607275957,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
created_at,1304449372944363520,1304449372944363520,bog 🦑 || 📌,catboyy_kaidou,14 • lesbian • poc • nd,,papa johns follows 😏 | enfp | she/he/they | carrd in progress,https://t.co/UR3rSsS4D8,,False,1014,998,29,Fri Sep 11 15:59:10 +0000 2020,12769,,,False,False,12591,,Fri Dec 11 05:25:28 +0000 2020,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_banners/1304449372944363520/1607275957,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id,1304449372944363520,1304449372944363520,bog 🦑 || 📌,catboyy_kaidou,14 • lesbian • poc • nd,,papa johns follows 😏 | enfp | she/he/they | carrd in progress,https://t.co/UR3rSsS4D8,,False,1014,998,29,Fri Sep 11 15:59:10 +0000 2020,12769,,,False,False,12591,,1337267234448625666,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_banners/1304449372944363520/1607275957,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
id_str,1304449372944363520,1304449372944363520,bog 🦑 || 📌,catboyy_kaidou,14 • lesbian • poc • nd,,papa johns follows 😏 | enfp | she/he/they | carrd in progress,https://t.co/UR3rSsS4D8,,False,1014,998,29,Fri Sep 11 15:59:10 +0000 2020,12769,,,False,False,12591,,1337267234448625666,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_banners/1304449372944363520/1607275957,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
text,1304449372944363520,1304449372944363520,bog 🦑 || 📌,catboyy_kaidou,14 • lesbian • poc • nd,,papa johns follows 😏 | enfp | she/he/they | carrd in progress,https://t.co/UR3rSsS4D8,,False,1014,998,29,Fri Sep 11 15:59:10 +0000 2020,12769,,,False,False,12591,,my family isn’t doing well right now and i’m feeling very unstable im going to be ia for a few days im extremely so… https://t.co/AZFYNvhosg,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_banners/1304449372944363520/1607275957,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
truncated,1304449372944363520,1304449372944363520,bog 🦑 || 📌,catboyy_kaidou,14 • lesbian • poc • nd,,papa johns follows 😏 | enfp | she/he/they | carrd in progress,https://t.co/UR3rSsS4D8,,False,1014,998,29,Fri Sep 11 15:59:10 +0000 2020,12769,,,False,False,12591,,True,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_banners/1304449372944363520/1607275957,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
entities,1304449372944363520,1304449372944363520,bog 🦑 || 📌,catboyy_kaidou,14 • lesbian • poc • nd,,papa johns follows 😏 | enfp | she/he/they | carrd in progress,https://t.co/UR3rSsS4D8,,False,1014,998,29,Fri Sep 11 15:59:10 +0000 2020,12769,,,False,False,12591,,"{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/AZFYNvhosg', 'expanded_url': 'https://twitter.com/i/web/status/1337267234448625666', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]}",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_banners/1304449372944363520/1607275957,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
source,1304449372944363520,1304449372944363520,bog 🦑 || 📌,catboyy_kaidou,14 • lesbian • poc • nd,,papa johns follows 😏 | enfp | she/he/they | carrd in progress,https://t.co/UR3rSsS4D8,,False,1014,998,29,Fri Sep 11 15:59:10 +0000 2020,12769,,,False,False,12591,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_banners/1304449372944363520/1607275957,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id,1304449372944363520,1304449372944363520,bog 🦑 || 📌,catboyy_kaidou,14 • lesbian • poc • nd,,papa johns follows 😏 | enfp | she/he/they | carrd in progress,https://t.co/UR3rSsS4D8,,False,1014,998,29,Fri Sep 11 15:59:10 +0000 2020,12769,,,False,False,12591,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_banners/1304449372944363520/1607275957,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_status_id_str,1304449372944363520,1304449372944363520,bog 🦑 || 📌,catboyy_kaidou,14 • lesbian • poc • nd,,papa johns follows 😏 | enfp | she/he/they | carrd in progress,https://t.co/UR3rSsS4D8,,False,1014,998,29,Fri Sep 11 15:59:10 +0000 2020,12769,,,False,False,12591,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_banners/1304449372944363520/1607275957,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
in_reply_to_user_id,1304449372944363520,1304449372944363520,bog 🦑 || 📌,catboyy_kaidou,14 • lesbian • poc • nd,,papa johns follows 😏 | enfp | she/he/they | carrd in progress,https://t.co/UR3rSsS4D8,,False,1014,998,29,Fri Sep 11 15:59:10 +0000 2020,12769,,,False,False,12591,,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_images/1335638285641609218/00YFX6w9_normal.jpg,https://pbs.twimg.com/profile_banners/1304449372944363520/1607275957,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none
