,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
url,271051643,271051643,✨💛✨shinee’s back✨💛✨,inkyubus13,,,inky | R.I.P. Jonghyun 🌹| #1 fan of capitalist warmonger tony stark | “u look pure as an. angel but. u shitpost like a demon” -Kael | nsfw/18+,https://t.co/PvFwfZ3eyf,"{'urls': [{'url': 'https://t.co/PvFwfZ3eyf', 'expanded_url': 'http://starkindustries.com', 'display_url': 'starkindustries.com', 'indices': [0, 23]}]}",False,1477,814,56,Wed Mar 23 19:23:28 +0000 2011,16074,,,False,False,113409,,,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme17/bg.gif,https://abs.twimg.com/images/themes/theme17/bg.gif,False,http://pbs.twimg.com/profile_images/1282529811366400001/LXSXEyrQ_normal.jpg,https://pbs.twimg.com/profile_images/1282529811366400001/LXSXEyrQ_normal.jpg,https://pbs.twimg.com/profile_banners/271051643/1594614122,981CEB,DFDFDF,F3F3F3,333333,True,True,False,False,False,False,False,none
description,271051643,271051643,✨💛✨shinee’s back✨💛✨,inkyubus13,,,inky | R.I.P. Jonghyun 🌹| #1 fan of capitalist warmonger tony stark | “u look pure as an. angel but. u shitpost like a demon” -Kael | nsfw/18+,https://t.co/PvFwfZ3eyf,{'urls': []},False,1477,814,56,Wed Mar 23 19:23:28 +0000 2011,16074,,,False,False,113409,,,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme17/bg.gif,https://abs.twimg.com/images/themes/theme17/bg.gif,False,http://pbs.twimg.com/profile_images/1282529811366400001/LXSXEyrQ_normal.jpg,https://pbs.twimg.com/profile_images/1282529811366400001/LXSXEyrQ_normal.jpg,https://pbs.twimg.com/profile_banners/271051643/1594614122,981CEB,DFDFDF,F3F3F3,333333,True,True,False,False,False,False,False,none
created_at,271051643,271051643,✨💛✨shinee’s back✨💛✨,inkyubus13,,,inky | R.I.P. Jonghyun 🌹| #1 fan of capitalist warmonger tony stark | “u look pure as an. angel but. u shitpost like a demon” -Kael | nsfw/18+,https://t.co/PvFwfZ3eyf,,False,1477,814,56,Wed Mar 23 19:23:28 +0000 2011,16074,,,False,False,113409,,Wed Dec 16 06:34:12 +0000 2020,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme17/bg.gif,https://abs.twimg.com/images/themes/theme17/bg.gif,False,http://pbs.twimg.com/profile_images/1282529811366400001/LXSXEyrQ_normal.jpg,https://pbs.twimg.com/profile_images/1282529811366400001/LXSXEyrQ_normal.jpg,https://pbs.twimg.com/profile_banners/271051643/1594614122,981CEB,DFDFDF,F3F3F3,333333,True,True,False,False,False,False,False,none
id,271051643,271051643,✨💛✨shinee’s back✨💛✨,inkyubus13,,,inky | R.I.P. Jonghyun 🌹| #1 fan of capitalist warmonger tony stark | “u look pure as an. angel but. u shitpost like a demon” -Kael | nsfw/18+,https://t.co/PvFwfZ3eyf,,False,1477,814,56,Wed Mar 23 19:23:28 +0000 2011,16074,,,False,False,113409,,1339096472793571328,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme17/bg.gif,https://abs.twimg.com/images/themes/theme17/bg.gif,False,http://pbs.twimg.com/profile_images/1282529811366400001/LXSXEyrQ_normal.jpg,https://pbs.twimg.com/profile_images/1282529811366400001/LXSXEyrQ_normal.jpg,https://pbs.twimg.com/profile_banners/271051643/1594614122,981CEB,DFDFDF,F3F3F3,333333,True,True,False,False,False,False,False,none
id_str,271051643,271051643,✨💛✨shinee’s back✨💛✨,inkyubus13,,,inky | R.I.P. Jonghyun 🌹| #1 fan of capitalist warmonger tony stark | “u look pure as an. angel but. u shitpost like a demon” -Kael | nsfw/18+,https://t.co/PvFwfZ3eyf,,False,1477,814,56,Wed Mar 23 19:23:28 +0000 2011,16074,,,False,False,113409,,1339096472793571328,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme17/bg.gif,https://abs.twimg.com/images/themes/theme17/bg.gif,False,http://pbs.twimg.com/profile_images/1282529811366400001/LXSXEyrQ_normal.jpg,https://pbs.twimg.com/profile_images/1282529811366400001/LXSXEyrQ_normal.jpg,https://pbs.twimg.com/profile_banners/271051643/1594614122,981CEB,DFDFDF,F3F3F3,333333,True,True,False,False,False,False,False,none
text,271051643,271051643,✨💛✨shinee’s back✨💛✨,inkyubus13,,,inky | R.I.P. Jonghyun 🌹| #1 fan of capitalist warmonger tony stark | “u look pure as an. angel but. u shitpost like a demon” -Kael | nsfw/18+,https://t.co/PvFwfZ3eyf,,False,1477,814,56,Wed Mar 23 19:23:28 +0000 2011,16074,,,False,False,113409,,@muwurder I already have her downloaded 😔 I guess I’ll activate my account again and give it another go,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme17/bg.gif,https://abs.twimg.com/images/themes/theme17/bg.gif,False,http://pbs.twimg.com/profile_images/1282529811366400001/LXSXEyrQ_normal.jpg,https://pbs.twimg.com/profile_images/1282529811366400001/LXSXEyrQ_normal.jpg,https://pbs.twimg.com/profile_banners/271051643/1594614122,981CEB,DFDFDF,F3F3F3,333333,True,True,False,False,False,False,False,none
truncated,271051643,271051643,✨💛✨shinee’s back✨💛✨,inkyubus13,,,inky | R.I.P. Jonghyun 🌹| #1 fan of capitalist warmonger tony stark | “u look pure as an. angel but. u shitpost like a demon” -Kael | nsfw/18+,https://t.co/PvFwfZ3eyf,,False,1477,814,56,Wed Mar 23 19:23:28 +0000 2011,16074,,,False,False,113409,,False,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme17/bg.gif,https://abs.twimg.com/images/themes/theme17/bg.gif,False,http://pbs.twimg.com/profile_images/1282529811366400001/LXSXEyrQ_normal.jpg,https://pbs.twimg.com/profile_images/1282529811366400001/LXSXEyrQ_normal.jpg,https://pbs.twimg.com/profile_banners/271051643/1594614122,981CEB,DFDFDF,F3F3F3,333333,True,True,False,False,False,False,False,none
entities,271051643,271051643,✨💛✨shinee’s back✨💛✨,inkyubus13,,,inky | R.I.P. Jonghyun 🌹| #1 fan of capitalist warmonger tony stark | “u look pure as an. angel but. u shitpost like a demon” -Kael | nsfw/18+,https://t.co/PvFwfZ3eyf,,False,1477,814,56,Wed Mar 23 19:23:28 +0000 2011,16074,,,False,False,113409,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'muwurder', 'name': '🔪', 'id': 2766766785, 'id_str': '2766766785', 'indices': [0, 9]}], 'urls': []}",False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme17/bg.gif,https://abs.twimg.com/images/themes/theme17/bg.gif,False,http://pbs.twimg.com/profile_images/1282529811366400001/LXSXEyrQ_normal.jpg,https://pbs.twimg.com/profile_images/1282529811366400001/LXSXEyrQ_normal.jpg,https://pbs.twimg.com/profile_banners/271051643/1594614122,981CEB,DFDFDF,F3F3F3,333333,True,True,False,False,False,False,False,none
source,271051643,271051643,✨💛✨shinee’s back✨💛✨,inkyubus13,,,inky | R.I.P. Jonghyun 🌹| #1 fan of capitalist warmonger tony stark | “u look pure as an. angel but. u shitpost like a demon” -Kael | nsfw/18+,https://t.co/PvFwfZ3eyf,,False,1477,814,56,Wed Mar 23 19:23:28 +0000 2011,16074,,,False,False,113409,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme17/bg.gif,https://abs.twimg.com/images/themes/theme17/bg.gif,False,http://pbs.twimg.com/profile_images/1282529811366400001/LXSXEyrQ_normal.jpg,https://pbs.twimg.com/profile_images/1282529811366400001/LXSXEyrQ_normal.jpg,https://pbs.twimg.com/profile_banners/271051643/1594614122,981CEB,DFDFDF,F3F3F3,333333,True,True,False,False,False,False,False,none
in_reply_to_status_id,271051643,271051643,✨💛✨shinee’s back✨💛✨,inkyubus13,,,inky | R.I.P. Jonghyun 🌹| #1 fan of capitalist warmonger tony stark | “u look pure as an. angel but. u shitpost like a demon” -Kael | nsfw/18+,https://t.co/PvFwfZ3eyf,,False,1477,814,56,Wed Mar 23 19:23:28 +0000 2011,16074,,,False,False,113409,,1339089798150156288,False,False,False,F5ABB5,http://abs.twimg.com/images/themes/theme17/bg.gif,https://abs.twimg.com/images/themes/theme17/bg.gif,False,http://pbs.twimg.com/profile_images/1282529811366400001/LXSXEyrQ_normal.jpg,https://pbs.twimg.com/profile_images/1282529811366400001/LXSXEyrQ_normal.jpg,https://pbs.twimg.com/profile_banners/271051643/1594614122,981CEB,DFDFDF,F3F3F3,333333,True,True,False,False,False,False,False,none
