,id,id_str,name,screen_name,location,profile_location,description,url,entities,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,status,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type
description,1115617484663447557,1115617484663447557,RJFuze,RJFuze,"Connecticut, USA",,I like to edit | simp for @shbzz | Shit at cs:go,,{'urls': []},False,50,496,1,Tue Apr 09 14:08:30 +0000 2019,2544,,,True,False,798,,,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_banners/1115617484663447557/1607022384,0000FF,000000,000000,000000,False,True,False,False,False,False,False,none
created_at,1115617484663447557,1115617484663447557,RJFuze,RJFuze,"Connecticut, USA",,I like to edit | simp for @shbzz | Shit at cs:go,,,False,50,496,1,Tue Apr 09 14:08:30 +0000 2019,2544,,,True,False,798,,Wed Dec 16 01:21:07 +0000 2020,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_banners/1115617484663447557/1607022384,0000FF,000000,000000,000000,False,True,False,False,False,False,False,none
id,1115617484663447557,1115617484663447557,RJFuze,RJFuze,"Connecticut, USA",,I like to edit | simp for @shbzz | Shit at cs:go,,,False,50,496,1,Tue Apr 09 14:08:30 +0000 2019,2544,,,True,False,798,,1339017681354321920,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_banners/1115617484663447557/1607022384,0000FF,000000,000000,000000,False,True,False,False,False,False,False,none
id_str,1115617484663447557,1115617484663447557,RJFuze,RJFuze,"Connecticut, USA",,I like to edit | simp for @shbzz | Shit at cs:go,,,False,50,496,1,Tue Apr 09 14:08:30 +0000 2019,2544,,,True,False,798,,1339017681354321920,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_banners/1115617484663447557/1607022384,0000FF,000000,000000,000000,False,True,False,False,False,False,False,none
text,1115617484663447557,1115617484663447557,RJFuze,RJFuze,"Connecticut, USA",,I like to edit | simp for @shbzz | Shit at cs:go,,,False,50,496,1,Tue Apr 09 14:08:30 +0000 2019,2544,,,True,False,798,,@itsJegus Good luck my man I hope in the end everything works out :),False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_banners/1115617484663447557/1607022384,0000FF,000000,000000,000000,False,True,False,False,False,False,False,none
truncated,1115617484663447557,1115617484663447557,RJFuze,RJFuze,"Connecticut, USA",,I like to edit | simp for @shbzz | Shit at cs:go,,,False,50,496,1,Tue Apr 09 14:08:30 +0000 2019,2544,,,True,False,798,,False,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_banners/1115617484663447557/1607022384,0000FF,000000,000000,000000,False,True,False,False,False,False,False,none
entities,1115617484663447557,1115617484663447557,RJFuze,RJFuze,"Connecticut, USA",,I like to edit | simp for @shbzz | Shit at cs:go,,,False,50,496,1,Tue Apr 09 14:08:30 +0000 2019,2544,,,True,False,798,,"{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'itsJegus', 'name': 'itsJegus', 'id': 821799499173679110, 'id_str': '821799499173679110', 'indices': [0, 9]}], 'urls': []}",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_banners/1115617484663447557/1607022384,0000FF,000000,000000,000000,False,True,False,False,False,False,False,none
source,1115617484663447557,1115617484663447557,RJFuze,RJFuze,"Connecticut, USA",,I like to edit | simp for @shbzz | Shit at cs:go,,,False,50,496,1,Tue Apr 09 14:08:30 +0000 2019,2544,,,True,False,798,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_banners/1115617484663447557/1607022384,0000FF,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id,1115617484663447557,1115617484663447557,RJFuze,RJFuze,"Connecticut, USA",,I like to edit | simp for @shbzz | Shit at cs:go,,,False,50,496,1,Tue Apr 09 14:08:30 +0000 2019,2544,,,True,False,798,,1338873384629923841,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_banners/1115617484663447557/1607022384,0000FF,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_status_id_str,1115617484663447557,1115617484663447557,RJFuze,RJFuze,"Connecticut, USA",,I like to edit | simp for @shbzz | Shit at cs:go,,,False,50,496,1,Tue Apr 09 14:08:30 +0000 2019,2544,,,True,False,798,,1338873384629923841,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_banners/1115617484663447557/1607022384,0000FF,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_user_id,1115617484663447557,1115617484663447557,RJFuze,RJFuze,"Connecticut, USA",,I like to edit | simp for @shbzz | Shit at cs:go,,,False,50,496,1,Tue Apr 09 14:08:30 +0000 2019,2544,,,True,False,798,,821799499173679110,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_banners/1115617484663447557/1607022384,0000FF,000000,000000,000000,False,True,False,False,False,False,False,none
in_reply_to_user_id_str,1115617484663447557,1115617484663447557,RJFuze,RJFuze,"Connecticut, USA",,I like to edit | simp for @shbzz | Shit at cs:go,,,False,50,496,1,Tue Apr 09 14:08:30 +0000 2019,2544,,,True,False,798,,821799499173679110,False,False,False,000000,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,False,http://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_images/1326019668004507653/g35eAkZK_normal.jpg,https://pbs.twimg.com/profile_banners/1115617484663447557/1607022384,0000FF,000000,000000,000000,False,True,False,False,False,False,False,none
